hand,count,raw_equity,raw_rank,action_equity_norm,action_equity_rank,rank_diff
AA,35904,0.722765,1,0.234136,1,0
KK,35904,0.681333,2,0.180217,2,0
QQ,35904,0.656324,3,0.146872,3,0
JJ,35904,0.631041,4,0.114508,4,0
JTs,23936,0.551441,21,0.086953,5,16
TT,35904,0.605298,5,0.084043,6,-1
AKs,23936,0.596435,6,0.080157,7,-1
AQs,23936,0.586807,7,0.074995,8,-1
AJs,23936,0.579941,9,0.074910,9,0
QTs,23936,0.553187,19,0.073526,10,9
QJs,23936,0.556390,17,0.071721,11,6
KTs,23936,0.559844,15,0.068681,12,3
KQs,23936,0.570540,11,0.068161,13,-2
ATs,23936,0.567660,12,0.067747,14,-2
KJs,23936,0.562721,14,0.065135,15,-1
JTo,71808,0.536032,28,0.046077,16,12
A9s,23936,0.552146,20,0.038032,17,3
AKo,71808,0.580117,8,0.035289,18,-10
QTo,71808,0.537103,27,0.028159,19,8
QJo,71808,0.540076,26,0.028001,20,6
A8s,23936,0.545105,24,0.027834,21,3
T9s,23936,0.511569,36,0.024607,22,14
AQo,71808,0.570543,10,0.024403,23,-13
KQo,71808,0.553813,18,0.023281,24,-6
AJo,71808,0.563753,13,0.020050,25,-12
KTo,71808,0.543370,25,0.018411,26,-1
KJo,71808,0.546010,23,0.016747,27,-4
99,35904,0.556496,16,0.015873,28,-12
A7s,23936,0.534995,29,0.013832,29,0
ATo,71808,0.551155,22,0.008614,30,-8
J9s,23936,0.511326,37,0.007138,31,6
A6s,23936,0.524532,32,0.005238,32,0
Q9s,23936,0.515493,35,-0.001466,33,2
K9s,23936,0.522443,33,-0.001559,34,-1
T8s,23936,0.486424,47,-0.014672,35,12
T9o,71808,0.494753,43,-0.025196,36,7
A9o,71808,0.534920,30,-0.027137,37,-7
J8s,23936,0.485920,48,-0.032300,38,10
98s,23936,0.482813,50,-0.032636,39,11
A8o,71808,0.527102,31,-0.038489,40,-9
K8s,23936,0.495208,42,-0.040266,41,1
Q8s,23936,0.489079,46,-0.040636,42,4
K7s,23936,0.493957,44,-0.040777,43,1
K6s,23936,0.485365,49,-0.043603,44,5
J9o,71808,0.493723,45,-0.046471,45,0
T7s,23936,0.465042,59,-0.048017,46,13
A7o,71808,0.516056,34,-0.054620,47,-13
88,35904,0.501285,40,-0.056811,48,-8
97s,23936,0.465367,58,-0.058145,49,9
Q9o,71808,0.497418,41,-0.059182,50,-9
Q6s,23936,0.466708,55,-0.063828,51,4
A6o,71808,0.504656,38,-0.064522,52,-14
K9o,71808,0.504041,39,-0.064605,53,-14
J7s,23936,0.463693,62,-0.065691,54,8
T8o,71808,0.467977,54,-0.070579,55,-1
T6s,23936,0.443918,69,-0.070892,56,13
Q7s,23936,0.465987,57,-0.073778,57,0
96s,23936,0.447902,64,-0.080853,58,6
J6s,23936,0.441274,71,-0.088715,59,12
98o,71808,0.464696,60,-0.091695,60,0
J8o,71808,0.466703,56,-0.092211,61,-5
87s,23936,0.437971,72,-0.103025,62,10
Q8o,71808,0.469342,53,-0.104736,63,-10
T7o,71808,0.445242,67,-0.108652,64,3
K8o,71808,0.475107,51,-0.109840,65,-14
K7o,71808,0.473484,52,-0.111248,66,-14
K6o,71808,0.464108,61,-0.115095,67,-6
97o,71808,0.446126,65,-0.121739,68,-3
86s,23936,0.422519,75,-0.122941,69,6
77,35904,0.449792,63,-0.127340,70,-7
J7o,71808,0.443091,70,-0.130448,71,-1
Q6o,71808,0.445312,66,-0.132440,72,-6
T6o,71808,0.422820,74,-0.133803,73,1
Q7o,71808,0.444826,68,-0.142886,74,-6
96o,71808,0.427629,73,-0.147084,75,-2
J6o,71808,0.419308,76,-0.156339,76,0
76s,23936,0.398027,80,-0.170327,77,3
87o,71808,0.417619,77,-0.172480,78,-1
66,35904,0.405134,78,-0.185938,79,-1
86o,71808,0.401248,79,-0.195269,80,-1
76o,71808,0.376070,81,-0.248822,81,0
