hand,count,avg_percentile,rank
AA,1669536,0.270205,1
KK,1669536,0.309557,2
QQ,1669536,0.336650,3
JJ,1669536,0.363559,4
TT,1669536,0.390429,5
AKs,1113024,0.403162,6
AQs,1113024,0.415252,7
AKo,3339072,0.420748,8
AJs,1113024,0.424562,9
KQs,1113024,0.431498,10
AQo,3339072,0.432694,11
99,1669536,0.436098,12
ATs,1113024,0.438750,13
KJs,1113024,0.441495,14
AJo,3339072,0.441836,15
KTs,1113024,0.446323,16
QJs,1113024,0.448165,17
KQo,3339072,0.449246,18
QTs,1113024,0.452935,19
A9s,1113024,0.454309,20
JTs,1113024,0.454653,21
ATo,3339072,0.456255,22
KJo,3339072,0.459129,23
A8s,1113024,0.459611,24
KTo,3339072,0.463613,25
QJo,3339072,0.465275,26
A7s,1113024,0.466333,27
QTo,3339072,0.469699,28
JTo,3339072,0.470633,29
A9o,3339072,0.472359,30
A6s,1113024,0.473198,31
A8o,3339072,0.478127,32
K9s,1113024,0.483355,33
A7o,3339072,0.485436,34
88,1669536,0.485738,35
Q9s,1113024,0.489969,36
A6o,3339072,0.492883,37
T9s,1113024,0.493257,38
J9s,1113024,0.493888,39
K9o,3339072,0.502384,40
K7s,1113024,0.507521,41
Q9o,3339072,0.508515,42
K8s,1113024,0.508897,43
T9o,3339072,0.510295,44
J9o,3339072,0.511827,45
K6s,1113024,0.512926,46
Q8s,1113024,0.514797,47
T8s,1113024,0.516985,48
J8s,1113024,0.517740,49
98s,1113024,0.519127,50
K7o,3339072,0.528008,51
K8o,3339072,0.529352,52
Q6s,1113024,0.531811,53
77,1669536,0.532355,54
K6o,3339072,0.533866,55
97s,1113024,0.534669,56
Q8o,3339072,0.534737,57
Q7s,1113024,0.535194,58
T8o,3339072,0.535390,59
T7s,1113024,0.536003,60
98o,3339072,0.537015,61
J8o,3339072,0.537027,62
J7s,1113024,0.537436,63
96s,1113024,0.550199,64
Q6o,3339072,0.552756,65
97o,3339072,0.553398,66
T6s,1113024,0.554682,67
T7o,3339072,0.555450,68
Q7o,3339072,0.556235,69
J6s,1113024,0.557212,70
J7o,3339072,0.557791,71
87s,1113024,0.559586,72
96o,3339072,0.569674,73
66,1669536,0.573008,74
86s,1113024,0.573482,75
T6o,3339072,0.575107,76
J6o,3339072,0.578603,77
87o,3339072,0.579192,78
86o,3339072,0.593738,79
76s,1113024,0.594294,80
76o,3339072,0.614932,81
